Contiguous U.S., Average Temperature, August
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199008,72.28
199108,72.99
199208,69.84
199308,71.89
199408,72.21
199508,74.32
199608,72.43
199708,71.74
199808,74.03
199908,72.91
200008,74.05
200108,74.30
200208,72.86
200308,74.66
200408,70.16
200508,73.20
200608,73.40
200708,74.64
200808,72.28
200908,71.89
201008,74.05
201108,75.00
201208,73.80
201308,72.99
201408,72.25
201508,72.95
201608,73.53
201708,72.01
201808,73.51
201908,73.74
202008,74.71
202108,73.98
