Contiguous U.S., Average Temperature, September
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199009,67.35
199109,64.90
199209,64.67
199309,63.30
199409,65.55
199509,64.69
199609,63.46
199709,66.42
199809,68.99
199909,64.35
200009,65.57
200109,65.70
200209,66.85
200309,64.96
200409,65.66
200509,67.37
200609,63.30
200709,66.43
200809,65.21
200909,66.38
201009,66.49
201109,66.09
201209,66.31
201309,66.96
201409,66.20
201509,68.54
201609,67.12
201709,66.27
201809,67.53
201909,68.43
202009,65.91
202109,67.82
