Motor-vehicle deaths and mileage death rates by mont, 1992-2020;;;;
Year;Month;Deaths;Death rate per 100 million vehicle miles;Vehicle miles (billions)
2020;Jan;2666;1,06;252
2020;Feb;2674;1,14;234
2020;Mar;2553;1,16;221
2020;Apr;2320;1,4;166
2020;May;3096;1,46;212
2020;Jun;3725;1,51;247
2020;Jul;3789;1,46;260
2020;Aug;3802;1,5;253
2020;Sep;3724;1,51;247
2020;Oct;3793;1,46;259
2020;Nov;3445;1,45;238
2020;Dec;3237;1,34;241
2020 Total;;38824;1,36;2903,6
2019;Jan;2670;1,08;248,2
2019;Feb;2393;1,06;226,7
2019;Mar;2769;1,02;271,5
2019;Apr;2820;1;281,4
2019;May;3172;1,11;286
2019;Jun;3201;1,14;280,9
2019;Jul;3304;1,12;295,6
2019;Aug;3359;1,17;286,5
2019;Sep;3331;1,23;271,7
2019;Oct;3227;1,14;284
2019;Nov;3084;1,18;260,5
2019;Dec;3025;1,1;274,2
2019 Total;;36355;1,11;3267,2
2018;Jan;3010;1,23;244,7
2018;Feb;2734;1,2;227,8
2018;Mar;3015;1,11;270,7
2018;Apr;2979;1,08;275,1
2018;May;3443;1,21;283,7
2018;Jun;3514;1,24;282,6
2018;Jul;3552;1,22;291
2018;Aug;3490;1,22;285
2018;Sep;3579;1,34;267,4
2018;Oct;3657;1,3;281,4
2018;Nov;3250;1,25;260,5
2018;Dec;3181;1,18;270,4
2018 Total;;39404;1,22;3240,3
2017;Jan;3034;1,24;244,6
2017;Feb;2748;1,21;226,9
2017;Mar;3164;1,18;267,4
2017;Apr;3238;1,19;272,9
2017;May;3416;1,2;284
2017;Jun;3492;1,24;280,5
2017;Jul;3730;1,3;287,3
2017;Aug;3409;1,2;283,2
2017;Sep;3572;1,36;262,7
2017;Oct;3629;1,3;278,9
2017;Nov;3408;1,32;257,7
2017;Dec;3391;1,27;266,5
2017 Total;;40231;15,01;3212,6
2016;Jan;2734;1,16;236,5
2016;Feb;2820;1,23;229
2016;Mar;3105;1,15;269,7
2016;Apr;3152;1,17;268,4
2016;May;3481;1,26;275,3
2016;Jun;3542;1,28;277,5
2016;Jul;3582;1,27;281,4
2016;Aug;3600;1,29;279,4
2016;Sep;3612;1,38;261,8
2016;Oct;3834;1,41;271,7
2016;Nov;3535;1,37;258,6
2016;Dec;3330;1,28;260
2016 Total;;40327;15,25;3169,3
2015;Jan;2754;1,17;236
2015;Feb;2350;1,07;219,5
2015;Mar;2764;1,06;260,9
2015;Apr;2830;1,06;265,9
2015;May;3339;1,22;273,9
2015;Jun;3222;1,18;273,7
2015;Jul;3530;1,25;281,7
2015;Aug;3642;1,32;275,4
2015;Sep;3372;1,31;258
2015;Oct;3550;1,31;271,6
2015;Nov;3159;1,26;251,5
2015;Dec;3245;1,24;262,3
2015 Total;;37757;14,45;3130,4
2014;Jan;2572;1,14;226,4
2014;Feb;2248;1,04;215,2
2014;Mar;2589;1,03;252,1
2014;Apr;2720;1,05;257,9
2014;May;3038;1,13;268,1
2014;Jun;3084;1,16;264,9
2014;Jul;3227;1,19;272,3
2014;Aug;3277;1,21;271
2014;Sep;3069;1,23;249,1
2014;Oct;3304;1,24;267,2
2014;Nov;3175;1,31;242,8
2014;Dec;3095;1,22;253,6
2014 Total;;35398;13,95;3040,6
2013;Jan;2642;1,17;226,7
