Contiguous U.S., Average Temperature, January
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199001,36.50
199101,29.48
199201,33.62
199301,30.47
199401,29.34
199501,33.08
199601,29.70
199701,29.95
199801,34.99
199901,33.78
200001,33.57
200101,31.35
200201,34.48
200301,32.81
200401,30.34
200501,33.39
200601,38.93
200701,31.35
200801,30.27
200901,31.05
201001,30.67
201101,29.71
201201,36.12
201301,32.25
201401,30.56
201501,33.08
201601,32.22
201701,33.57
201801,32.16
201901,32.56
202001,35.55
202101,34.57
202201,31.19
