Contiguous U.S., Average Temperature, December
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199012,30.83
199112,35.74
199212,31.75
199312,34.20
199412,36.23
199512,33.42
199612,33.91
199712,34.00
199812,35.55
199912,36.10
200012,28.44
200112,36.12
200212,35.08
200312,35.29
200412,35.06
200512,32.70
200612,36.57
200712,33.22
200812,31.87
200912,29.64
201012,32.47
201112,35.40
201212,35.92
201312,31.06
201412,36.81
201512,38.66
201612,32.95
201712,34.29
201812,35.51
201912,36.43
202012,35.71
202112,39.34
