Contiguous U.S., Average Temperature, February
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199002,36.70
199102,39.81
199202,39.70
199302,31.14
199402,31.87
199502,37.36
199602,35.69
199702,36.05
199802,38.71
199902,39.49
200002,39.78
200102,33.98
200202,36.39
200302,32.79
200402,33.57
200502,37.94
200602,34.83
200702,32.41
200802,34.70
200902,36.77
201002,31.80
201102,33.04
201202,37.51
201302,34.77
201402,32.13
201502,32.99
201602,39.47
201702,41.18
201802,35.51
201902,31.84
202002,36.18
202102,30.60
202202,33.71
