Contiguous U.S., Average Temperature, March
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199003,44.74
199103,43.32
199203,44.71
199303,41.79
199403,44.51
199503,43.34
199603,39.02
199703,44.67
199803,41.34
199903,42.80
200003,46.04
200103,41.49
200203,39.54
200303,43.30
200403,47.41
200503,42.31
200603,42.62
200703,47.66
200803,41.86
200903,42.87
201003,43.57
201103,43.07
201203,50.41
201303,40.91
201403,40.51
201503,45.39
201603,47.50
201703,46.15
201803,42.73
201903,40.28
202003,46.08
202103,45.52
202203,44.08
