Contiguous U.S., Average Temperature, May
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199005,58.86
199105,61.97
199205,61.16
199305,60.89
199405,60.67
199505,58.64
199605,60.98
199705,59.40
199805,62.47
199905,60.06
200005,63.14
200105,62.82
200205,59.29
200305,60.98
200405,61.92
200505,59.56
200605,62.28
200705,62.33
200805,59.36
200905,61.65
201005,59.88
201105,59.13
201205,63.45
201305,60.85
201405,61.27
201505,60.84
201605,60.33
201705,60.57
201805,65.52
201905,59.49
202005,60.91
202105,60.35
202205,61.90
