Contiguous U.S., Average Temperature, June
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199006,70.23
199106,69.08
199206,67.44
199306,67.21
199406,70.95
199506,67.55
199606,69.87
199706,68.31
199806,68.13
199906,68.31
200006,69.03
200106,69.24
200206,70.86
200306,68.05
200406,68.09
200506,69.21
200606,70.75
200706,69.87
200806,69.60
200906,68.54
201006,70.48
201106,69.82
201206,70.54
201306,70.39
201406,69.58
201506,71.37
201606,71.76
201706,70.36
201806,71.55
201906,68.72
202006,70.29
202106,72.59
202206,70.79
