Contiguous U.S., Average Temperature, July
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199007,73.26
199107,73.89
199207,71.22
199307,72.16
199407,73.62
199507,73.54
199607,73.63
199707,73.18
199807,75.49
199907,74.30
200007,73.87
200107,74.48
200207,75.85
200307,75.47
200407,72.90
200507,75.31
200607,76.41
200707,74.70
200807,74.08
200907,72.63
201007,74.71
201107,76.14
201207,76.77
201307,74.21
201407,73.29
201507,73.92
201607,75.22
201707,75.70
201807,75.45
201907,74.62
202007,75.65
202107,75.42
202207,76.42
